term,category,en_definition,de_definition,en_example,de_example,related_terms,see_also
Tcl Module (.tm),Bibliotheks- und Paket-System / Library and Package System,A modern packaging form for Tcl code: a single `.tm` file with a version-encoded filename (e.g. `mypkg-1.2.tm`) that is loadable via `package require` without a separate `pkgIndex.tcl`. Searched on directories listed by `tcl::tm::path list`. Simpler than the classic pkgIndex mechanism for single-file packages.,"Eine moderne Paketform für Tcl-Code: eine einzelne `.tm`-Datei mit versions-kodiertem Dateinamen (z.B. `mypkg-1.2.tm`), die via `package require` ohne separate `pkgIndex.tcl` ladbar ist. Wird in den Verzeichnissen aus `tcl::tm::path list` gesucht. Einfacher als der klassische pkgIndex-Mechanismus für Single-File-Pakete.","# Filename convention: <name>-<version>.tm
# Example: mypkg-1.2.tm

# Inside the file:
package provide mypkg 1.2
namespace eval mypkg { ... }

# Usage from elsewhere:
tcl::tm::path add /opt/tcllibs
package require mypkg",,"tcl::tm::path, tcl::tm::add, tcl::tm::list, package require, pkgIndex.tcl","tm(n), package(n)"
auto_index,Bibliotheks- und Paket-System / Library and Package System,"A global array maintained by the `auto_load` mechanism that maps command names to the Tcl files providing them. Populated from `tclIndex` files generated by `auto_mkindex`. When the `unknown` handler intercepts an undefined command, it looks up `auto_index($cmd)` and sources the listed file on demand.","Ein globales Array, das vom `auto_load`-Mechanismus gepflegt wird und Kommando-Namen auf die Tcl-Dateien abbildet, die sie bereitstellen. Wird aus `tclIndex`-Dateien gefüllt, die mit `auto_mkindex` generiert werden. Wenn der `unknown`-Handler ein nicht definiertes Kommando abfängt, schlägt er in `auto_index($cmd)` nach und lädt die entsprechende Datei on-demand.","# Generate tclIndex in current dir from all *.tcl:
auto_mkindex . *.tcl

# Inspect what's known:
parray auto_index

# auto_index({myProc}) -> source path/to/myProc.tcl",,"unknown, auto_load, auto_mkindex, tclIndex","library(n), auto_mkindex(n)"
lib Directory,Bibliotheks- und Paket-System / Library and Package System,"Standard directory for libraries; typically `$prefix/lib` or `$prefix/lib/tcl8.6`; contains packages, modules, and shared libraries; searched via `auto_path` variable; platform-specific (lib vs lib64).","Standard-Verzeichnis für Bibliotheken; typischerweise `$prefix/lib` oder `$prefix/lib/tcl8.6`; enthält Pakete, Module und Shared Libraries; durchsucht über `auto_path`-Variable; plattformspezifisch (lib vs lib64).",,,,
package ifneeded,Bibliotheks- und Paket-System / Library and Package System,Register package loading script; defined in pkgIndex.tcl; executed when package first required; lazy loading mechanism; example: `package ifneeded mypackage 1.0 [list source [file join $dir mypackage.tcl]]`.,Paket-Lade-Skript registrieren; definiert in pkgIndex.tcl; ausgeführt wenn Paket erstmals benötigt; Lazy-Loading-Mechanismus; Beispiel: `package ifneeded mypackage 1.0 [list source [file join $dir mypackage.tcl]]`.,,,,
package provide,Bibliotheks- und Paket-System / Library and Package System,Command declaring package availability; specifies package name and version; called by package initialization code; example: `package provide mypackage 1.0`.,Befehl zur Deklaration von Paket-Verfügbarkeit; spezifiziert Paket-Namen und Version; aufgerufen von Paket-Initialisierungs-Code; Beispiel: `package provide mypackage 1.0`.,,,,
package require,Bibliotheks- und Paket-System / Library and Package System,Command loading package and its dependencies; searches `auto_path` directories; matches version requirements; loads pkgIndex.tcl or .tm file; example: `package require http 2.9`.,Befehl zum Laden von Paket und seinen Abhängigkeiten; durchsucht `auto_path`-Verzeichnisse; passt Versions-Anforderungen; lädt pkgIndex.tcl oder .tm-Datei; Beispiel: `package require http 2.9`.,,,,
package vcompare,Bibliotheks- und Paket-System / Library and Package System,"Compares two Tcl version strings according to Tcl's version-numbering rules. Returns -1 if the first is older, 0 if equal, 1 if newer. Aware of the major.minor.patch.alpha/beta convention (`1.2a3` < `1.2b1` < `1.2.0`).","Vergleicht zwei Tcl-Versions-Strings gemäß der Tcl-Versionsregeln. Liefert -1 wenn der erste älter ist, 0 bei Gleichheit, 1 wenn neuer. Berücksichtigt die major.minor.patch.alpha/beta-Konvention (`1.2a3` < `1.2b1` < `1.2.0`).","package vcompare 1.0 1.1        ;# -1 (older)
package vcompare 2.0 2.0        ;#  0 (equal)
package vcompare 2.1 2.0.5      ;#  1 (newer)
package vcompare 1.2a3 1.2b1    ;# -1 (alpha before beta)

# Conditional based on Tcl version
if {[package vcompare [info patchlevel] 8.6] >= 0} {
    # We're on 8.6 or later
}",,"package versions, package require, info patchlevel",package(n)
package versions,Bibliotheks- und Paket-System / Library and Package System,"Returns a list of all versions of a given package that are known to the interpreter (registered via `package ifneeded` or already loaded), without loading anything. Useful for build scripts that need to pick a specific version, or for diagnostics when `package require` fails.","Liefert eine Liste aller Versionen eines Pakets, die dem Interpreter bekannt sind (registriert via `package ifneeded` oder bereits geladen), ohne etwas zu laden. Nützlich für Build-Skripte, die eine bestimmte Version wählen müssen, oder zur Diagnose, wenn `package require` fehlschlägt.","# What Tcl extension versions are available?
foreach pkg {Tcl Tk sqlite3 tdbc::sqlite3} {
    puts ""$pkg: [package versions $pkg]""
}

# Pick the newest available
set versions [package versions sqlite3]
set newest [lindex [lsort -command [list package vcompare] $versions] end]
package require sqlite3 $newest",,"package vcompare, package require, package present, package ifneeded",package(n)
pkg_mkIndex,Bibliotheks- und Paket-System / Library and Package System,Command generating pkgIndex.tcl from Tcl files in directory; scans for `package provide` statements; creates index entries; usage: `pkg_mkIndex /path/to/dir *.tcl`.,Befehl zum Generieren von pkgIndex.tcl aus Tcl-Dateien im Verzeichnis; scannt nach `package provide`-Anweisungen; erstellt Index-Einträge; Verwendung: `pkg_mkIndex /path/to/dir *.tcl`.,,,,
tcl::tm,Bibliotheks- und Paket-System / Library and Package System,"Tcl's module system — namespace for the module-path management commands. `tcl::tm::path add /dir/with/tm-files` registers a directory; `tcl::tm::roots` lists all roots. A Tcl module is a `.tm` file named with version like `mypkg-1.0.tm`; placed under a path-registered directory, it becomes available via `package require mypkg`. Simpler than the `pkgIndex.tcl` system: no index file needed, version is in the filename. Standard for new Tcl code; coexists with old-style packages.","Tcls Modul-System — Namespace fuer die Modulpfad-Verwaltungs-Befehle. `tcl::tm::path add /dir/with/tm-files` registriert ein Verzeichnis; `tcl::tm::roots` listet alle Wurzeln. Ein Tcl-Modul ist eine `.tm`-Datei mit Version im Namen wie `meinpkg-1.0.tm`; unter einem registrierten Verzeichnis abgelegt, wird es ueber `package require meinpkg` verfuegbar. Einfacher als das `pkgIndex.tcl`-System: keine Index-Datei noetig, Version im Dateinamen. Standard fuer neuen Tcl-Code; koexistiert mit alten-Stil-Packages.",,,,
tcl::tm::add,Bibliotheks- und Paket-System / Library and Package System,Adds one or more directories to the front of the Tcl Module search path. Newly added directories take precedence over previously known ones. Equivalent to `tcl::tm::path add ...` (the `path` subcommand is implicit at this level since Tcl 8.5).,Fügt ein oder mehrere Verzeichnisse vorne in den Tcl-Module-Suchpfad ein. Neu hinzugefügte Verzeichnisse haben Vorrang vor zuvor bekannten. Äquivalent zu `tcl::tm::path add ...` (der `path`-Sub-Befehl ist auf dieser Ebene seit Tcl 8.5 implizit).,"# Add a project-local module directory
tcl::tm::path add [file join [file dirname [info script]] tm]

# Multiple at once
tcl::tm::path add /opt/tcllibs ~/lib/tcl/tm

# Verify
puts [tcl::tm::path list]",,"tcl::tm::path, tcl::tm::list, Tcl Module (.tm), auto_path",tm(n)
tcl::tm::list,Bibliotheks- und Paket-System / Library and Package System,"Returns the current list of Tcl Module search directories, in the order they will be probed. Useful for diagnostics (`why was my .tm not found?`) and for verifying that startup scripts have set up the path correctly. Same as `tcl::tm::path list`.","Liefert die aktuelle Liste der Tcl-Module-Suchverzeichnisse, in der Reihenfolge, in der sie durchsucht werden. Nützlich zur Diagnose (`warum wurde mein .tm nicht gefunden?`) und zur Verifikation, dass Startup-Skripte den Pfad korrekt gesetzt haben. Identisch mit `tcl::tm::path list`.","# Inspect the search path
foreach dir [tcl::tm::path list] {
    puts $dir
}

# Default paths typically include:
# /usr/local/lib/tcl9.0/tcl9
# /usr/local/share/tcl9.0/tcl9
# ~/.local/lib/tcl9/tcl9   (per Tcl version)",,"tcl::tm::path, tcl::tm::add, Tcl Module (.tm), auto_path",tm(n)
tcl::tm::path,Bibliotheks- und Paket-System / Library and Package System,Command managing Tcl Module paths; `tcl::tm::path add` adds directory; `tcl::tm::path list` shows current paths; modules in these directories auto-discovered; separate from `auto_path`.,Befehl zur Verwaltung von Tcl-Modul-Pfaden; `tcl::tm::path add` fügt Verzeichnis hinzu; `tcl::tm::path list` zeigt aktuelle Pfade; Module in diesen Verzeichnissen automatisch entdeckt; getrennt von `auto_path`.,,,,
%A,Bind-Spezifische Details / Bind-Specific Details,ASCII character corresponding to key press (empty for non-printable keys).,ASCII-Zeichen entsprechend dem Tastendruck (leer für nicht druckbare Tasten).,,,,
%K,Bind-Spezifische Details / Bind-Specific Details,Keysym (symbolic name) of pressed key in binding scripts.,Keysym (symbolischer Name) der gedrückten Taste in Binding-Skripten.,,,,
%W,Bind-Spezifische Details / Bind-Specific Details,Substitution for widget pathname in binding scripts.,Substitution für Widget-Pfadnamen in Binding-Skripten.,,,,
"%X, %Y",Bind-Spezifische Details / Bind-Specific Details,Mouse coordinates relative to screen in binding scripts.,Maus-Koordinaten relativ zum Bildschirm in Binding-Skripten.,,,,
%b,Bind-Spezifische Details / Bind-Specific Details,"Mouse button number (1=left, 2=middle, 3=right).","Mausbutton-Nummer (1=links, 2=mitte, 3=rechts).",,,,
%k,Bind-Spezifische Details / Bind-Specific Details,Numeric keycode of pressed key in binding scripts.,Numerischer Tastencode der gedrückten Taste in Binding-Skripten.,,,,
%s,Bind-Spezifische Details / Bind-Specific Details,"State of modifier keys (Control, Shift, Alt) as numeric bitmask.","Zustand der Modifikatortasten (Control, Shift, Alt) als numerische Bitmaske.",,,,
%t,Bind-Spezifische Details / Bind-Specific Details,Timestamp of event in milliseconds.,Zeitstempel des Ereignisses in Millisekunden.,,,,
"%x, %y",Bind-Spezifische Details / Bind-Specific Details,Mouse coordinates relative to widget in binding scripts.,Maus-Koordinaten relativ zum Widget in Binding-Skripten.,,,,
Bind,Bind-Spezifische Details / Bind-Specific Details,Command to associate event patterns with scripts for widgets or tags.,Befehl zum Verknüpfen von Ereignismustern mit Skripten für Widgets oder Tags.,,,,
Binding Class,Bind-Spezifische Details / Bind-Specific Details,"Group of widgets sharing common bindings (e.g., all Text widgets share Text class bindings).","Gruppe von Widgets, die gemeinsame Bindings teilen (z.B. alle Text-Widgets teilen Text-Klassen-Bindings).",,,,
Bindtags,Bind-Spezifische Details / Bind-Specific Details,List of tag names determining binding order for event processing.,"Liste von Tag-Namen, die Binding-Reihenfolge für Ereignisverarbeitung bestimmen.",,,,
Break,Bind-Spezifische Details / Bind-Specific Details,Command to stop event propagation in binding chain.,Befehl zum Stoppen der Ereignisweiterleitung in der Binding-Kette.,,,,
Continue,Bind-Spezifische Details / Bind-Specific Details,Skip remaining bindings at current level but continue to next level.,"Restliche Bindings auf aktueller Ebene überspringen, aber zur nächsten Ebene fortfahren.",,,,
Event Generate,Bind-Spezifische Details / Bind-Specific Details,Programmatically create and send events to widgets.,Programmatisch Ereignisse erstellen und an Widgets senden.,,,,
Event Pattern,Bind-Spezifische Details / Bind-Specific Details,"String describing event type and modifiers (e.g., `<Button-1>`, `<Control-Key-s>`).","Zeichenfolge, die Ereignistyp und Modifikatoren beschreibt (z.B. `<Button-1>`, `<Control-Key-s>`).",,,,
